"step","time","srcref","expression","key","variable","old","new"
1,"2026-04-15 23:33:34 CDT",NA,"transform(height = height * 0.0254)",1,"height","58","1.4732"
1,"2026-04-15 23:33:34 CDT",NA,"transform(height = height * 0.0254)",10,"height","67","1.7018"
1,"2026-04-15 23:33:34 CDT",NA,"transform(height = height * 0.0254)",11,"height","68","1.7272"
1,"2026-04-15 23:33:34 CDT",NA,"transform(height = height * 0.0254)",12,"height","69","1.7526"
1,"2026-04-15 23:33:34 CDT",NA,"transform(height = height * 0.0254)",13,"height","70","1.778"
1,"2026-04-15 23:33:34 CDT",NA,"transform(height = height * 0.0254)",14,"height","71","1.8034"
1,"2026-04-15 23:33:34 CDT",NA,"transform(height = height * 0.0254)",15,"height","72","1.8288"
1,"2026-04-15 23:33:34 CDT",NA,"transform(height = height * 0.0254)",2,"height","59","1.4986"
1,"2026-04-15 23:33:34 CDT",NA,"transform(height = height * 0.0254)",3,"height","60","1.524"
1,"2026-04-15 23:33:34 CDT",NA,"transform(height = height * 0.0254)",4,"height","61","1.5494"
1,"2026-04-15 23:33:34 CDT",NA,"transform(height = height * 0.0254)",5,"height","62","1.5748"
1,"2026-04-15 23:33:34 CDT",NA,"transform(height = height * 0.0254)",6,"height","63","1.6002"
1,"2026-04-15 23:33:34 CDT",NA,"transform(height = height * 0.0254)",7,"height","64","1.6256"
1,"2026-04-15 23:33:34 CDT",NA,"transform(height = height * 0.0254)",8,"height","65","1.651"
1,"2026-04-15 23:33:34 CDT",NA,"transform(height = height * 0.0254)",9,"height","66","1.6764"
2,"2026-04-15 23:33:34 CDT",NA,"transform(weight = weight * 0.453592)",1,"weight","115","52.16308"
2,"2026-04-15 23:33:34 CDT",NA,"transform(weight = weight * 0.453592)",10,"weight","142","64.410064"
2,"2026-04-15 23:33:34 CDT",NA,"transform(weight = weight * 0.453592)",11,"weight","146","66.224432"
2,"2026-04-15 23:33:34 CDT",NA,"transform(weight = weight * 0.453592)",12,"weight","150","68.0388"
2,"2026-04-15 23:33:34 CDT",NA,"transform(weight = weight * 0.453592)",13,"weight","154","69.853168"
2,"2026-04-15 23:33:34 CDT",NA,"transform(weight = weight * 0.453592)",14,"weight","159","72.121128"
2,"2026-04-15 23:33:34 CDT",NA,"transform(weight = weight * 0.453592)",15,"weight","164","74.389088"
2,"2026-04-15 23:33:34 CDT",NA,"transform(weight = weight * 0.453592)",2,"weight","117","53.070264"
2,"2026-04-15 23:33:34 CDT",NA,"transform(weight = weight * 0.453592)",3,"weight","120","54.43104"
2,"2026-04-15 23:33:34 CDT",NA,"transform(weight = weight * 0.453592)",4,"weight","123","55.791816"
2,"2026-04-15 23:33:34 CDT",NA,"transform(weight = weight * 0.453592)",5,"weight","126","57.152592"
2,"2026-04-15 23:33:34 CDT",NA,"transform(weight = weight * 0.453592)",6,"weight","129","58.513368"
2,"2026-04-15 23:33:34 CDT",NA,"transform(weight = weight * 0.453592)",7,"weight","132","59.874144"
2,"2026-04-15 23:33:34 CDT",NA,"transform(weight = weight * 0.453592)",8,"weight","135","61.23492"
2,"2026-04-15 23:33:34 CDT",NA,"transform(weight = weight * 0.453592)",9,"weight","139","63.049288"
3,"2026-04-15 23:33:34 CDT",NA,"transform(bmi = weight/height^2)",1,"bmi",NA,"24.0347609113768"
3,"2026-04-15 23:33:34 CDT",NA,"transform(bmi = weight/height^2)",2,"bmi",NA,"23.6308743803928"
3,"2026-04-15 23:33:34 CDT",NA,"transform(bmi = weight/height^2)",3,"bmi",NA,"23.4356335379337"
3,"2026-04-15 23:33:34 CDT",NA,"transform(bmi = weight/height^2)",4,"bmi",NA,"23.2403890768545"
3,"2026-04-15 23:33:34 CDT",NA,"transform(bmi = weight/height^2)",5,"bmi",NA,"23.0454460908922"
3,"2026-04-15 23:33:34 CDT",NA,"transform(bmi = weight/height^2)",6,"bmi",NA,"22.8510712501395"
3,"2026-04-15 23:33:34 CDT",NA,"transform(bmi = weight/height^2)",7,"bmi",NA,"22.6574972681195"
3,"2026-04-15 23:33:34 CDT",NA,"transform(bmi = weight/height^2)",8,"bmi",NA,"22.4649268233448"
3,"2026-04-15 23:33:34 CDT",NA,"transform(bmi = weight/height^2)",9,"bmi",NA,"22.4349384419614"
3,"2026-04-15 23:33:34 CDT",NA,"transform(bmi = weight/height^2)",10,"bmi",NA,"22.2400977660053"
3,"2026-04-15 23:33:34 CDT",NA,"transform(bmi = weight/height^2)",11,"bmi",NA,"22.1989781349805"
3,"2026-04-15 23:33:34 CDT",NA,"transform(bmi = weight/height^2)",12,"bmi",NA,"22.150882360996"
3,"2026-04-15 23:33:34 CDT",NA,"transform(bmi = weight/height^2)",13,"bmi",NA,"22.0964544786232"
3,"2026-04-15 23:33:34 CDT",NA,"transform(bmi = weight/height^2)",14,"bmi",NA,"22.1757532187947"
3,"2026-04-15 23:33:34 CDT",NA,"transform(bmi = weight/height^2)",15,"bmi",NA,"22.2421522003538"
